date,SalesAmount,MYLastYear,MonthYear,MY,DateLastYear,Month,Year,Cases
20200101,3339325.2399959,201901,202001,202001,20190101,Jan,2020,
20200103,3396079.499996,201901,202001,202001,20190101,Jan,2020,
20200102,3156268.9699972,201901,202001,202001,20190101,Jan,2020,
20200104,3275097.4899964,201901,202001,202001,20190101,Jan,2020,
20200105,3130069.4299976,201901,202001,202001,20190101,Jan,2020,
20200106,3436391.0499967,201901,202001,202001,20190101,Jan,2020,
20200107,3721205.8799955,201901,202001,202001,20190101,Jan,2020,
20200108,3992596.1299943,201901,202001,202001,20190101,Jan,2020,
20200109,4348679.5699931,201901,202001,202001,20190101,Jan,2020,
20200130,4604663.1699918,201901,202001,202001,20190101,Jan,2020,
20200110,4337690.8799929,201901,202001,202001,20190101,Jan,2020,
20200111,3924813.2199939,201901,202001,202001,20190101,Jan,2020,
20200112,3550766.489996,201901,202001,202001,20190101,Jan,2020,
20200202,3526506.2799958,201902,202002,202002,20190201,Feb,2020,
20200223,3406021.5799964,201902,202002,202002,20190201,Feb,2020,
20200316,1165273.9400006,201903,202003,202003,20190301,Mar,2020,950
20200113,4005947.8799941,201901,202001,202001,20190101,Jan,2020,
20200114,4083105.7399937,201901,202001,202001,20190101,Jan,2020,
20200115,4101238.2499939,201901,202001,202001,20190101,Jan,2020,
20200116,4506779.9199921,201901,202001,202001,20190101,Jan,2020,
20200117,4558896.4399912,201901,202001,202001,20190101,Jan,2020,
20200118,3297193.7899958,201901,202001,202001,20190101,Jan,2020,
20200119,3169396.669997,201901,202001,202001,20190101,Jan,2020,
20200120,3084510.7499978,201901,202001,202001,20190101,Jan,2020,
20200121,4020762.9299941,201901,202001,202001,20190101,Jan,2020,
20200122,4121612.4099938,201901,202001,202001,20190101,Jan,2020,
20200212,4397331.7699926,201902,202002,202002,20190201,Feb,2020,
20200304,4978691.3399926,201903,202003,202003,20190301,Mar,2020,11
20200325,184489.99999999,201903,202003,202003,20190301,Mar,2020,33117
20200416,138048.24000001,201904,202004,202004,20190401,Apr,2020,225761
20200507,230308.1,201905,202005,202005,20190501,May,2020,332931
20200528,244501.89999999,201905,202005,202005,20190501,May,2020,371559
20200619,430476.72999994,201906,202006,202006,20190601,Jun,2020,391330
20200123,4386419.7799928,201901,202001,202001,20190101,Jan,2020,
20200124,4372584.9599919,201901,202001,202001,20190101,Jan,2020,
20200125,3820502.5199939,201901,202001,202001,20190101,Jan,2020,
20200126,3517922.589996,201901,202001,202001,20190101,Jan,2020,
20200326,175124.19,201903,202003,202003,20190301,Mar,2020,39058
20200129,4238852.2499933,201901,202001,202001,20190101,Jan,2020,
20200127,3593616.2699959,201901,202001,202001,20190101,Jan,2020,
20200128,3956471.5099944,201901,202001,202001,20190101,Jan,2020,
20200131,4489260.2499918,201901,202001,202001,20190101,Jan,2020,
20200201,3665548.4899946,201902,202002,202002,20190201,Feb,2020,
20200204,3976086.4399943,201902,202002,202002,20190201,Feb,2020,
20200205,4279987.4799932,201902,202002,202002,20190201,Feb,2020,
20200203,3712116.6399954,201902,202002,202002,20190201,Feb,2020,
20200225,4277226.9499934,201902,202002,202002,20190201,Feb,2020,
20200206,4573382.829992,201902,202002,202002,20190201,Feb,2020,
20200207,4697663.9099908,201902,202002,202002,20190201,Feb,2020,
20200208,3877636.3299936,201902,202002,202002,20190201,Feb,2020,
20200209,3416312.6499964,201902,202002,202002,20190201,Feb,2020,
20200210,4007409.3899943,201902,202002,202002,20190201,Feb,2020,
20200211,4079228.3899939,201902,202002,202002,20190201,Feb,2020,
20200214,4879387.1199895,201902,202002,202002,20190201,Feb,2020,
20200213,4725681.9999915,201902,202002,202002,20190201,Feb,2020,
20200305,4634648.9399914,201903,202003,202003,20190301,Mar,2020,22
20200417,158884.92000001,201904,202004,202004,20190401,Apr,2020,233293
20200508,242905.25,201905,202005,202005,20190501,May,2020,335804
20200529,274030.21999998,201905,202005,202005,20190501,May,2020,373108
